Time, Mass, Net Force, Y-Acceleration, Y-velocity, Altitude
91.875000, 317226.543210, 3507984.982569, 11.058296, 558.771591, 20197.218286
92.000000, 317226.543210, 3508692.398671, 11.060526, 560.154157, 20267.237556
92.125000, 314764.197531, 3533372.663458, 11.225459, 561.557339, 20337.432223
92.250000, 314764.197531, 3534073.871505, 11.227687, 562.960800, 20407.802323
92.375000, 314764.197531, 3534779.877408, 11.229930, 564.364541, 20478.347891
92.500000, 314764.197531, 3535490.614765, 11.232188, 565.768565, 20549.068961
92.625000, 314764.197531, 3536206.017177, 11.234461, 567.172872, 20619.965570
92.750000, 314764.197531, 3536926.018256, 11.236748, 568.577466, 20691.037754
92.875000, 314764.197531, 3537650.551632, 11.239050, 569.982347, 20762.285547
93.000000, 314764.197531, 3538379.550958, 11.241366, 571.387518, 20833.708987
93.125000, 312301.851852, 3563076.859778, 11.409080, 572.813653, 20905.310693
93.250000, 312301.851852, 3563799.473283, 11.411394, 574.240077, 20977.090703
93.375000, 312301.851852, 3564526.585362, 11.413722, 575.666792, 21049.049052
93.500000, 312301.851852, 3565258.128779, 11.416065, 577.093800, 21121.185777
93.625000, 312301.851852, 3565994.036342, 11.418421, 578.521103, 21193.500915
93.750000, 312301.851852, 3566734.240901, 11.420791, 579.948702, 21265.994502
93.875000, 312301.851852, 3567478.675359, 11.423175, 581.376599, 21338.666577
94.000000, 312301.851852, 3568227.272679, 11.425572, 582.804795, 21411.517177
94.125000, 309839.506173, 3592939.549852, 11.596131, 584.254312, 21484.548966
94.250000, 309839.506173, 3593681.575405, 11.598526, 585.704127, 21557.761982
94.375000, 309839.506173, 3594427.793581, 11.600934, 587.154244, 21631.156262
94.500000, 309839.506173, 3595178.136513, 11.603356, 588.604664, 21704.731845
94.625000, 309839.506173, 3595932.536407, 11.605791, 590.055388, 21778.488768
94.750000, 309839.506173, 3596690.925550, 11.608239, 591.506417, 21852.427071
94.875000, 309839.506173, 3597453.236317, 11.610699, 592.957755, 21926.546790
95.000000, 309839.506173, 3598219.401179, 11.613172, 594.409401, 22000.847965
95.125000, 307377.160494, 3622944.525712, 11.786642, 595.882731, 22075.333307
95.250000, 307377.160494, 3623703.926208, 11.789113, 597.356370, 22150.002853
95.375000, 307377.160494, 3624467.207954, 11.791596, 598.830320, 22224.856643
95.500000, 307377.160494, 3625234.302650, 11.794091, 600.304581, 22299.894716
95.625000, 307377.160494, 3626005.142104, 11.796599, 601.779156, 22375.117110
95.750000, 307377.160494, 3626779.658242, 11.799119, 603.254046, 22450.523866
95.875000, 307377.160494, 3627557.783112, 11.801650, 604.729252, 22526.115022
96.000000, 307377.160494, 3628339.448893, 11.804193, 606.204777, 22601.890619
96.125000, 304914.814815, 3653075.263546, 11.980642, 607.702357, 22677.853414
96.250000, 304914.814815, 3653849.967312, 11.983183, 609.200255, 22754.003446
96.375000, 304914.814815, 3654628.236811, 11.985735, 610.698472, 22830.340755
96.500000, 304914.814815, 3655410.003516, 11.988299, 612.197009, 22906.865381
96.625000, 304914.814815, 3656195.199042, 11.990874, 613.695868, 22983.577364
96.750000, 304914.814815, 3656983.755158, 11.993460, 615.195051, 23060.476746
96.875000, 304914.814815, 3657775.603790, 11.996057, 616.694558, 23137.563566
97.000000, 304914.814815, 3658570.677032, 11.998665, 618.194391, 23214.837864
97.125000, 302452.469136, 3683314.997660, 12.178161, 619.716661, 23292.302447
97.250000, 302452.469136, 3684102.907846, 12.180767, 621.239257, 23369.957354
97.375000, 302452.469136, 3684894.065417, 12.183382, 622.762180, 23447.802627
97.500000, 302452.469136, 3685688.401824, 12.186009, 624.285431, 23525.838306
97.625000, 302452.469136, 3686485.848698, 12.188645, 625.809012, 23604.064432
97.750000, 302452.469136, 3687286.337858, 12.191292, 627.332923, 23682.481047
97.875000, 302452.469136, 3688089.801317, 12.193948, 628.857167, 23761.088193
98.000000, 302452.469136, 3688896.171289, 12.196615, 630.381743, 23839.885911
98.125000, 299990.123457, 3713646.796408, 12.379230, 631.929147, 23918.877055
98.250000, 299990.123457, 3714445.800602, 12.381894, 633.476884, 23998.061665
98.375000, 299990.123457, 3715247.732333, 12.384567, 635.024955, 24077.439784
98.500000, 299990.123457, 3716052.523242, 12.387250, 636.573361, 24157.011455
98.625000, 299990.123457, 3716860.105185, 12.389942, 638.122104, 24236.776718
98.750000, 299990.123457, 3717670.410239, 12.392643, 639.671184, 24316.735616
98.875000, 299990.123457, 3718483.370712, 12.395353, 641.220603, 24396.888191
99.000000, 299990.123457, 3719298.919147, 12.398071, 642.770362, 24477.234486
99.125000, 297527.777778, 3744053.639666, 12.583879, 644.343347, 24557.777405
99.250000, 297527.777778, 3744861.619664, 12.586595, 645.916671, 24638.516988
99.375000, 297527.777778, 3745672.207205, 12.589319, 647.490336, 24719.453280
99.500000, 297527.777778, 3746485.334328, 12.592052, 649.064343, 24800.586323
99.625000, 297527.777778, 3747300.933323, 12.594794, 650.638692, 24881.916160
99.750000, 297527.777778, 3748118.936736, 12.597543, 652.213385, 24963.442833
99.875000, 297527.777778, 3748939.277376, 12.600300, 653.788422, 25045.166386
100.000000, 297527.777778, 3749761.888323, 12.603065, 655.363805, 25127.086861
100.125000, 295065.432099, 3774518.497379, 12.792141, 656.962823, 25209.207214
100.250000, 295065.432099, 3775333.339064, 12.794902, 658.562186, 25291.527487
100.375000, 295065.432099, 3776150.469508, 12.797671, 660.161895, 25374.047724
100.500000, 295065.432099, 3776969.821358, 12.800448, 661.761951, 25456.767968
100.625000, 295065.432099, 3777791.327546, 12.803232, 663.362355, 25539.688262
100.750000, 295065.432099, 3778614.921293, 12.806024, 664.963108, 25622.808651
100.875000, 295065.432099, 3779440.536119, 12.808822, 666.564210, 25706.129177
101.000000, 295065.432099, 3780268.105845, 12.811626, 668.165664, 25789.649885
101.125000, 292603.086420, 3805024.408684, 13.004047, 669.791170, 25873.373781
